variant,fullname,editortype
LS-ctrl-R1-all,LS-ctrl-R1-all,control
LS-ctrl-R2-all,LS-ctrl-R2-all,control
LS-ctrl-R3-all,LS-ctrl-R3-all,control
LS-p595evo-R1-all,LS-p595evo-R1-all,CBE
LS-p595evo-R2-all,LS-p595evo-R2-all,CBE
LS-p595evo-R3-all,LS-p595evo-R3-all,CBE
LS-p595wlt-R1-all,LS-p595wlt-R1-all,CBE
LS-p595wlt-R2-all,LS-p595wlt-R2-all,CBE
LS-p595wlt-R3-all,LS-p595wlt-R3-all,CBE
